metabolite,tissue,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
pseudo uridine,root,8702.416666666668,-3480.816666666666,-3050.166666666667,2297.2333333333327,0.010411367034913074,0.003930186921054249,0.19914840928765423,0.04927380441224167,-0.6021804091830618,6.663872567665847e-5,0.08725717134022386,0.02202956099749594,0.7109963955734189,0.011728415719091891,TRUE
cyano-l-alanine,root,30437.500000000007,-26041.099999999988,-13150.166666666672,13578.933333333318,0.002224835058434769,0.03573746284057952,0.21446631261019752,0.04927380441224174,-0.5062650215782105,0.0012714092419638544,0.030120843868039947,0.11217257123465069,0.7109963955734189,0.09357485910138867,TRUE
cyanoalanine,root,29201.249999999996,-25090.249999999985,-14750,15130.999999999987,5.552205330755337e-4,0.006000134015387663,0.1007297489501889,0.04927380441224176,-0.48072789151588685,0.0024176640192708474,0.015797295098622523,0.02933398851967302,0.6084790183102331,0.09357485910138867,TRUE
xylulose NIST,leaf,25596.25,2855.0833333333426,4702.416666666673,-546.9166666666829,0.5821241996474121,0.27045308380790345,0.9404429252414355,1.657529812609091e-16,0.22450830104405656,0.18804374397541887,0.9405884020102145,0.35522196082232094,0.9974557918960908,0.5425524416339954,FALSE
xylose,leaf,27525.08333333333,-248.08333333332894,9170.91666666667,-893.4166666666749,0.9418957598000242,0.0022206212372479135,0.852786755478099,1.8987284611974134e-16,0.23440328828862728,0.1688079803140649,0.9994467102546782,0.00831551782458793,0.9788897181942247,0.5035627887334818,FALSE
xylonic acid isomer,leaf,5562.166666666667,-432.9999999999996,-433.58333333333303,-756.7500000000005,0.4765677194959944,0.38362222062829676,0.38002767151580763,1.1963828084989588e-16,0.34966741803711754,0.03657622076582514,0.9405884020102145,0.47215042538867297,0.9512902010234224,0.19507317741773406,FALSE
xylonic acid,leaf,2494.0833333333335,335.4166666666667,1355.0833333333337,-94.75000000000094,0.348497503851556,4.636297250140977e-5,0.8504680944630094,8.779193300220022e-17,0.20222953492899284,0.23687870135221809,0.9238408329976535,3.263953264099248e-4,0.9788897181942247,0.5633871815944647,FALSE
xanthine,leaf,228.41666666666677,35.58333333333312,37.666666666666515,-118.83333333333309,0.45557637961772646,0.3348044585469847,0.08396617644442225,1.5698438692687003e-16,0.07087787294012293,0.6812367000997699,0.9405884020102145,0.4239250698148871,0.9512902010234224,0.8653333083694629,FALSE
vanillic acid,leaf,526.0000000000001,-126.83333333333326,-40.83333333333346,30.50000000000005,0.2756934006889803,0.6648446320204913,0.8516165066677732,1.6179664308250308e-16,-0.11679707835987459,0.4975319456383175,0.922847743785305,0.7500811233051696,0.9788897181942247,0.8320680907117086,FALSE
valine,leaf,395369.58333333326,-97675.24999999997,-238441.4166666669,64954.583333333554,0.07446586135955256,4.463506093119881e-6,0.39235132709639586,1.2763805662799236e-16,-0.5132783066632512,0.0013677293608501725,0.7774428207455996,5.237180482593993e-5,0.9512902010234224,0.07322161371682673,FALSE
